service_id,date,exception_type
50852-_90207-M,20260401,1
50852-_90208-LAMJV,20260401,1
50852-_90209-M,20260401,1
50852-_90210-LAMJV,20260401,1
50853-_90301-M,20260401,1
50853-_90302-LAMJV,20260401,1
50854-_90401-M,20260401,1
50854-_90402-LAMJV,20260401,1
50855-_90501-M,20260401,1
50855-_90502-LAMJV,20260401,1
50857-_90703-LAMJV,20260401,1
50857-_90731-LAMJV,20260401,1
50857-_90735-M,20260401,1
50858-_90801-LAMJV,20260401,1
50858-_90802-M,20260401,1
50858-_90817-LAMJV,20260401,1
50858-_90819-M,20260401,1
50859-_90904-M,20260401,1
50859-_90905-LAMJV,20260401,1
50859-_90915-LAMJV,20260401,1
50860-_91001-LAMJV,20260401,1
50860-_91002-M,20260401,1
50860-_91007-LAMJV,20260401,1
50862-_91201-M,20260401,1
50862-_91202-LAMJV,20260401,1
50862-_91206-M,20260401,1
50863-_91302-LAMJV,20260401,1
50863-_91305-M,20260401,1
50863-_91306-LAMJV,20260401,1
50863-_91308-LAMJV,20260401,1
50863-_91314-M,20260401,1
50864-_91401-M,20260401,1
50864-_91402-LAMJV,20260401,1
50865-_91501-M,20260401,1
50865-_91502-LAMJV,20260401,1
50865-_91504-LAMJV,20260401,1
50866-_91601-M,20260401,1
50866-_91602-LAMJV,20260401,1
50866-_91604-LAMJV,20260401,1
50868-_91901-LAMJV,20260401,1
50868-_91902-LAMJV,20260401,1
50868-_91903-M,20260401,1
50868-_91904-M,20260401,1
50869-_92002-LAMJV,20260401,1
50869-_92008-LAMJV,20260401,1
50869-_92009-M,20260401,1
50869-_92010-M,20260401,1
50870-_92101-M,20260401,1
50870-_92102-LAMJV,20260401,1
50870-_92104-LAMJV,20260401,1
50870-_92106-M,20260401,1
50871-_92201-M,20260401,1
50871-_92202-M,20260401,1
50871-_92203-M,20260401,1
50871-_92210-LAMJV,20260401,1
50871-_92211-LAMJV,20260401,1
50871-_92212-LAMJV,20260401,1
50874-_92601-LAMJV,20260401,1
50874-_92602-LAMJV,20260401,1
50874-_92604-M,20260401,1
50874-_92605-M,20260401,1
50874-_92606-LAMJV,20260401,1
50874-_92611-LAMJV,20260401,1
50874-_92612-LAMJV,20260401,1
50875-_92701-LAMJV,20260401,1
50875-_92702-M,20260401,1
50876-_92801-LAMJV,20260401,1
50876-_92802-M,20260401,1
50876-_92804-M,20260401,1
50876-_92811-LAMJV,20260401,1
50877-_92901-LAMJV,20260401,1
50877-_92902-M,20260401,1
50877-_92903-LAMJV,20260401,1
50877-_92905-M,20260401,1
50877-_92909-M,20260401,1
50878-_93001-LAMJV,20260401,1
50878-_93009-LAMJV,20260401,1
50878-_93010-M,20260401,1
50878-_93011-M,20260401,1
50878-_93012-LAMJV,20260401,1
50879-_93101-LAMJV,20260401,1
50879-_93103-MV,20260401,1
50880-_93210-LAMJV,20260401,1
50880-_93211-LAMJV,20260401,1
50880-_93213-M,20260401,1
50880-_93214-M,20260401,1
50881-_93301-LAMJV,20260401,1
50881-_93302-M,20260401,1
50881-_93303-LAMJV,20260401,1
50881-_93304-M,20260401,1
50881-_93312-M,20260401,1
50881-_93313-M,20260401,1
50882-_93401-LAMJV,20260401,1
50882-_93402-LAMJV,20260401,1
50883-_93501-LAMJV,20260401,1
50883-_93502-M,20260401,1
50883-_93503-LAMJV,20260401,1
50883-_93505-LAMJV,20260401,1
50883-_93508-M,20260401,1
50883-_93510-M,20260401,1
50885-_94001-M,20260401,1
50885-_94002-LAMJV,20260401,1
50886-_94101-M,20260401,1
50886-_94102-LAMJV,20260401,1
50887-_94201-M,20260401,1
50887-_94202-LAMJV,20260401,1
50887-_94206-LAMJV,20260401,1
50888-_94301-LAMJV,20260401,1
50888-_94302-M,20260401,1
50891-_94501-LAMJV,20260401,1
50891-_94502-M,20260401,1
50891-_94506-LAMJV,20260401,1
50891-_94507-LAMJV,20260401,1
50891-_94508-M,20260401,1
50891-_94509-M,20260401,1
50893-_95501-LAMJV,20260401,1
50893-_95502-M,20260401,1
50894-_96701-LAMJV,20260401,1
50894-_96702-LAMJV,20260401,1
50894-_96703-M,20260401,1
50894-_96704-M,20260401,1
50896-_96901-M,20260401,1
50896-_96904-LAMJV,20260401,1
50896-_96905-LAMJV,20260401,1
50897-_97501-LAMJV,20260401,1
50897-_97504-M,20260401,1
50898-_97801-LAMJV,20260401,1
50898-_97802-LAMJV,20260401,1
50898-_97805-M,20260401,1
50898-_97806-LAMJV,20260401,1
50898-_97807-M,20260401,1
50898-_97810-M,20260401,1
50899-__C801-LAMJV,20260401,1
50899-__C802-LAMJV,20260401,1
50899-__C803-LAMJV,20260401,1
50899-__C804-LAMJV,20260401,1
50899-__C805-LAMJV,20260401,1
50901-CITA01-LAMJV,20260401,1
50901-CITA02-LAMJV,20260401,1
50901-CITA03-LAMJV,20260401,1
50901-CITA04-LAMJV,20260401,1
50901-CITA05-LAMJV,20260401,1
50901-CITA06-LAMJV,20260401,1
50901-CITA07-LAMJV,20260401,1
50903-CITH01-LAMJV,20260401,1
50903-CITH02-LAMJV,20260401,1
50903-CITH03-LAMJV,20260401,1
50903-CITH04-LAMJV,20260401,1
50903-CITH05-LAMJV,20260401,1
50903-CITH06-LAMJV,20260401,1
50906-_L9001-LAMJV,20260401,1
